trips,batteries,cg_iters,cg_s,cols,eps,feasible,fuel_gal,fuel_kwh,fuel_units,gap_pct,lp_obj,milp_s,mip_obj,pricing_pct,pricing_s,pv_scale,scenario,solar_mwh,trucks
60,0,21,0.26,117,2.0,True,1336.36,44100.0,441.0,0.0,3829.05,0.03,3829.05,48.0,0.13,0.0,v2g,0.0,36
60,0,25,0.29,121,2.0,True,1109.09,36600.0,366.0,0.0,3454.05,0.03,3454.05,45.6,0.13,0.5,v2g,7.3,36
60,0,47,0.5,143,2.0,True,896.97,29600.0,296.0,0.03,3104.05,0.05,3104.98,40.3,0.2,1.0,v2g,14.7,36
60,0,106,1.1,202,2.0,True,763.64,25200.0,252.0,0.003,2884.15,0.09,2884.23,32.2,0.35,1.5,v2g,22.1,36
60,0,60,0.78,156,2.0,True,703.03,23200.0,232.0,0.002,2784.65,0.07,2784.7,37.1,0.29,2.0,v2g,29.4,36
60,0,64,0.78,160,2.0,True,687.88,22700.0,227.0,0.002,2759.65,0.05,2759.7,37.5,0.29,2.5,v2g,36.8,36
60,0,57,0.55,153,2.0,True,681.82,22500.0,225.0,0.0,2749.65,0.04,2749.65,40.3,0.22,3.0,v2g,44.1,36
60,0,28,0.33,124,2.5,True,1436.36,47400.0,474.0,0.024,4129.88,0.04,4130.88,42.5,0.14,0.0,v2g,0.0,39
60,0,26,0.32,122,2.5,True,1209.09,39900.0,399.0,0.022,3754.88,0.05,3755.7,42.3,0.13,0.5,v2g,7.3,39
60,0,27,0.33,123,2.5,True,990.91,32700.0,327.0,-0.0,3394.88,0.03,3394.88,41.4,0.14,1.0,v2g,14.7,39
60,0,54,0.57,150,2.5,True,839.39,27700.0,277.0,0.159,3139.88,0.14,3144.88,37.1,0.21,1.5,v2g,22.1,39
60,0,63,0.63,159,2.5,True,743.94,24550.0,245.5,0.085,2985.48,0.07,2988.0,36.5,0.23,2.0,v2g,29.4,39
60,0,58,0.57,154,2.5,True,724.24,23900.0,239.0,0.002,2955.63,0.04,2955.67,37.9,0.22,2.5,v2g,36.8,39
60,0,51,0.51,147,2.5,True,718.18,23700.0,237.0,0.003,2945.63,0.06,2945.7,40.4,0.21,3.0,v2g,44.1,39
