breakeven_p1.0,breakeven_p1.5,breakeven_p2.0,ev_trucks_p1.0,ev_trucks_p1.5,ev_trucks_p2.0,seed,traction_units,vsp_trucks
1.422,1.586,1.75,35,35,35,0,120.0,26
1.472,1.669,1.866,42,42,42,1,120.0,29
1.308,1.444,1.555,25,26,25,2,120.0,21
1.365,1.501,1.636,29,29,29,3,120.0,23
1.386,1.528,1.673,31,31,31,4,120.0,20
1.386,1.541,1.696,33,33,33,5,120.0,26
1.378,1.52,1.647,30,31,30,6,120.0,23
1.34,1.476,1.607,29,29,29,7,120.0,23
1.396,1.546,1.696,32,32,32,8,120.0,20
1.398,1.562,1.73,35,35,35,9,120.0,25
1.419,1.578,1.742,34,34,34,10,120.0,24
1.371,1.521,1.671,32,32,32,11,120.0,24
1.377,1.517,1.653,31,30,30,12,120.0,25
1.444,1.59,1.744,32,32,32,13,120.0,22
1.399,1.545,1.717,33,33,33,14,120.0,26
1.367,1.53,1.69,34,34,34,15,120.0,26
1.316,1.445,1.564,28,27,27,16,120.0,21
1.372,1.509,1.676,34,33,33,17,120.0,29
1.319,1.455,1.591,29,29,29,18,120.0,27
1.354,1.509,1.664,33,33,33,19,120.0,29
